D:\Documents\11Projects\little-brother-v3>lb3 run --dry-run --duration 30 | findstr /i "snapshot"
2025-09-22T20:38:21.763 [unknown] [system] [MainThread] INFO - Logging initialized - session: unknown, file: lb_data\logs\20250922_203821-15200.log
2025-09-22T20:38:21.767 [01K5SJC7A7RGJWRAQFMMAZ16WW] [system] [MainThread] INFO - Starting Little Brother v3 monitoring system
2025-09-22T20:38:21.771 [01K5SJC7A7RGJWRAQFMMAZ16WW] [recovery] [MainThread] INFO - Starting recovery sweep in lb_data\spool
2025-09-22T20:38:21.779 [01K5SJC7A7RGJWRAQFMMAZ16WW] [recovery] [MainThread] INFO - Recovery sweep: no temp files found
2025-09-22T20:38:21.829 [01K5SJC7A7RGJWRAQFMMAZ16WW] [keyboard] [MainThread] INFO - pynput keyboard module loaded successfully
2025-09-22T20:38:21.831 [01K5SJC7A7RGJWRAQFMMAZ16WW] [mouse] [MainThread] INFO - pynput mouse module loaded successfully
2025-09-22T20:38:21.835 [01K5SJC7A7RGJWRAQFMMAZ16WW] [file] [MainThread] INFO - Default watch paths: ['C:\\Users\\richw', 'C:\\Users\\richw\\Desktop']
2025-09-22T20:38:21.846 [01K5SJC7A7RGJWRAQFMMAZ16WW] [file] [MainThread] INFO - watchdog loaded successfully
2025-09-22T20:38:21.851 [01K5SJC7A7RGJWRAQFMMAZ16WW] [browser] [MainThread] INFO - CDP plugin disabled by configuration
2025-09-22T20:38:21.852 [01K5SJC7A7RGJWRAQFMMAZ16WW] [monitor] [Monitor-heartbeat] INFO - Starting heartbeat monitor (interval: 1.0s, total: 30)
2025-09-22T20:38:21.853 [01K5SJC7A7RGJWRAQFMMAZ16WW] [monitor] [MainThread] INFO - Started monitor heartbeat (session: 01K5SJC7BKBHK965343RKQW1ST)
2025-09-22T20:38:21.853 [01K5SJC7A7RGJWRAQFMMAZ16WW] [monitor] [MainThread] INFO - Started monitor context_snapshot (session: 01K5SJC7BNH8X6J3T2MXZM2J56)
2025-09-22T20:38:21.854 [01K5SJC7A7RGJWRAQFMMAZ16WW] [events] [Monitor-context_snapshot] INFO - Event bus started
2025-09-22T20:38:21.854 [01K5SJC7A7RGJWRAQFMMAZ16WW] [monitor] [MainThread] INFO - Started monitor keyboard (session: 01K5SJC7BRQEQYWH4YH407W4BQ)
2025-09-22T20:38:21.854 [01K5SJC7A7RGJWRAQFMMAZ16WW] [context_snapshot] [Monitor-context_snapshot] INFO - Context snapshot monitoring started (idle gap: 7.0s)
2025-09-22T20:38:21.855 [01K5SJC7A7RGJWRAQFMMAZ16WW] [monitor] [MainThread] INFO - Started monitor mouse (session: 01K5SJC7C70NYQ6CSERW2JQXJY)
2025-09-22T20:38:21.855 [01K5SJC7A7RGJWRAQFMMAZ16WW] [mouse] [Monitor-mouse] INFO - Mouse monitoring started
2025-09-22T20:38:21.855 [01K5SJC7A7RGJWRAQFMMAZ16WW] [monitor] [Monitor-active_window] WARNING - Win32 hooks not available, using polling only
2025-09-22T20:38:21.855 [01K5SJC7A7RGJWRAQFMMAZ16WW] [monitor] [MainThread] INFO - Started monitor active_window (session: 01K5SJC7C9DCTF60318FYRDYYW)
2025-09-22T20:38:21.856 [01K5SJC7A7RGJWRAQFMMAZ16WW] [monitor] [MainThread] INFO - Started monitor file (session: 01K5SJC7CA9E0MNGHE679RF57R)
2025-09-22T20:38:21.856 [01K5SJC7A7RGJWRAQFMMAZ16WW] [browser] [Monitor-browser] INFO - Browser monitoring started in fallback mode
2025-09-22T20:38:21.857 [01K5SJC7A7RGJWRAQFMMAZ16WW] [monitor] [MainThread] INFO - Started monitor browser (session: 01K5SJC7CRHQR7TAMDKKR2TF7S)
2025-09-22T20:38:21.857 [01K5SJC7A7RGJWRAQFMMAZ16WW] [file] [Monitor-file] INFO - Watching path: C:\Users\richw
2025-09-22T20:38:21.859 [01K5SJC7A7RGJWRAQFMMAZ16WW] [file] [Monitor-file] INFO - Watching path: C:\Users\richw\Desktop
2025-09-22T20:38:21.861 [01K5SJC7A7RGJWRAQFMMAZ16WW] [file] [Monitor-file] INFO - File system monitoring started
2025-09-22T20:38:21.870 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Monitor-active_window] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:21.870 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:21.876 [01K5SJC7A7RGJWRAQFMMAZ16WW] [keyboard] [Monitor-keyboard] INFO - Keyboard monitoring started
2025-09-22T20:38:21.898 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Monitor-active_window] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:21.903 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Monitor-active_window] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:21.968 [01K5SJC7A7RGJWRAQFMMAZ16WW] [monitor] [Monitor-active_window] INFO - Active window monitoring started with Win32 hooks
2025-09-22T20:38:22.053 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:22.096 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:22.129 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:22.162 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:22.195 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:22.228 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:22.433 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:23.155 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:24.016 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:24.052 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:24.089 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:24.129 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:24.161 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:24.203 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:24.244 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:24.287 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:24.321 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:24.354 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:24.540 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
2025-09-22T20:38:24.577 [01K5SJC7A7RGJWRAQFMMAZ16WW] [database] [Thread-5] INFO - Database initialized at lb_data\local.db
